person;birth;death;occupation
Агранат, Григорий Абрамович;1919;2007;Деятели науки, техники и образования
Агранович, Борис Львович;1938;2014;Деятели науки, техники и образования
Агранович, Владимир Моисеевич;1929;;Деятели науки, техники и образования
Агранович, Михаил Семёнович;1931;2017;Деятели науки, техники и образования
Агранович, Софья Залмановна;1944;2005;Деятели науки, техники и образования
Аграновский, Алексей Анатольевич;1953;;Деятели науки, техники и образования
Аграчев, Андрей Александрович;1952;2000;Деятели науки, техники и образования
Агре, Питер;1949;;Деятели науки, техники и образования
Агрест, Матест Менделевич;1915;2005;Деятели науки, техники и образования
Агроскин, Анатолий Абрамович;1908;1993;Деятели науки, техники и образования
Агроскин, Иосиф Ильич;1900;1968;Деятели науки, техники и образования
Агстнер, Рудольф;1951;2016;Деятели науки, техники и образования
Агте, Николай Христианович;1833;1867;Деятели науки, техники и образования
Агуадо, Педро де;1513;;Деятели науки, техники и образования
Агура, Димитр;1849;1911;Деятели науки, техники и образования
Агурбаш, Николай Георгиевич;1954;;Деятели науки, техники и образования
Агурский, Михаил Самуилович;1933;1991;Деятели науки, техники и образования
Агурский, Самуил Хаимович;1884;1956;Деятели науки, техники и образования
Агуэро, Бартоломео;1527;1597;Деятели науки, техники и образования
Агьон, Филипп;1956;1991;Деятели науки, техники и образования
Адаксина, Светлана Борисовна;1960;;Деятели науки, техники и образования
Адам, Рейнольд;1602;1656;Деятели науки, техники и образования
Адаменко, Игорь Николаевич;1938;;Деятели науки, техники и образования
Адаменко, Ирина Ивановна;1935;;Деятели науки, техники и образования
Адаменко, Олег Максимович;1935;;Деятели науки, техники и образования
Адамишин, Виктор Михайлович;1962;1995;Военные и работники силовых структур
Адамов, Андрей Иванович;1913;2005;Деятели науки, техники и образования
Адамов, Владимир Владимирович;1875;1939;Деятели науки, техники и образования
Адамов, Иван Иванович;1880;;Религиозные деятели
Адамов, Николай Павлович;1861;1912;Деятели науки, техники и образования
Адамович, Адам Фердинанд;1802;1881;Деятели науки, техники и образования
Адамович, Алексей Николаевич;1904;1979;Деятели науки, техники и образования
Адамович, Борис Андреевич;1926;2013;Деятели науки, техники и образования
Адамович, Леонид Петрович;1910;1984;Деятели науки, техники и образования
Адамович, Людвиг Флорианович;1823;1887;Деятели науки, техники и образования
Адамс Девитт, Лидия Мария;1859;1928;Деятели науки, техники и образования
Адамс, Артур Александрович;1885;1969;Военные и работники силовых структур
Адамс, Генри Картер;1851;1921;Деятели науки, техники и образования
Адамс, Джон Бертрам;1920;1984;Деятели науки, техники и образования
Адамс, Джон Куч;1819;1892;Деятели науки, техники и образования
Адамс, Джон Фрэнк;1930;1989;Деятели науки, техники и образования
Адамс, Михаил Иванович;1780;1832;Деятели науки, техники и образования
Адамс, Мэрилин Маккорд;1966;2017;Деятели науки, техники и образования
Адамс, Томас Сьюэл;1873;1933;Деятели науки, техники и образования
Адамс, Уолтер;1922;1998;Деятели науки, техники и образования
Адамс, Уолтер Сидни;1885;1956;Деятели науки, техники и образования
Адамс, Ханна;1756;1831;Деятели науки, техники и образования
Адамс, Чарльз Деннис;1920;2005;Деятели науки, техники и образования
Адамсон, Дональд;1939;;Деятели науки, техники и образования
Адамсон, Роберт Стивен;1885;1965;Деятели науки, техники и образования
Адамьянц, Тамара Завеновна;1943;;Деятели науки, техники и образования
Адамян, Арнольд Арамович;1935;2012;Деятели науки, техники и образования
Адамян, Вадим Мовсесович;1938;;Деятели науки, техники и образования
Адамян, Лейла Вагоевна;1949;;Деятели науки, техники и образования
Адариди, Август-Карл-Михаил Михайлович;1859;1940;Военные и работники силовых структур
Адаскина, Наталья Львовна;1940;;Деятели науки, техники и образования
Адашевский, Константин Игнатьевич;1897;1987;Деятели искусства и культуры
Адекенов, Сергазы Мынжасарович;1956;;Деятели науки, техники и образования
Аделунг, Иоганн Кристоф;1732;1806;Деятели науки, техники и образования
Аделунг, Николай Николаевич;1857;1917;Деятели науки, техники и образования
Аделунг, Фёдор Павлович;1794;1843;Деятели науки, техники и образования
Адельман, Ирма;1930;2017;Деятели науки, техники и образования
Адельсбергер, Удо;1904;1992;Деятели науки, техники и образования
Адемар Шабанский;989;1034;Деятели науки, техники и образования
Аджемоглу, Дарон;1967;;Деятели науки, техники и образования
Аджемян, Вартан Мкртичевич;1905;1977;Деятели искусства и культуры
Аджемян, Лоран Цолакович;1945;;Деятели науки, техники и образования
Аджиев, Абдулаким Магомедович;1940;;Деятели науки, техники и образования
Аджинджал, Иван Андреевич;1896;1963;Деятели науки, техники и образования
Аджян Антон Арутюнович;1904;1938;Деятели науки, техники и образования
Адилов, Каиржан Наукебаевич;1936;2014;Деятели науки, техники и образования
Адирович, Эммануил Ильич;1915;1973;Деятели науки, техники и образования
Адлеман, Леонард Макс;1945;;Деятели науки, техники и образования
Адлер, Август;1863;1923;Деятели науки, техники и образования
Адлер, Карл Фредрик;1720;1761;Деятели науки, техники и образования
Адлер, Макс;1873;1937;Деятели науки, техники и образования
Адлер, Марк;1959;;Деятели науки, техники и образования
Адливанкин, Соломон Юрьевич;1922;1985;Деятели науки, техники и образования
Адмони, Владимир Григорьевич;1909;1993;Деятели науки, техники и образования
Адо, Анатолий Васильевич;1928;1995;Деятели науки, техники и образования
Адо, Андрей Дмитриевич;1909;1997;Деятели науки, техники и образования
Адо, Пьер;1922;2010;Деятели науки, техники и образования
Адодуров, Василий Евдокимович;1709;1780;Деятели науки, техники и образования
Адольф, Андрей Викентьевич;1857;1905;Деятели науки, техники и образования
Адон Виеннский;800;875;Деятели науки, техники и образования
Адоньева, Светлана Борисовна;1963;;Деятели науки, техники и образования
Благонравов, Александр Иванович;1906;1962;Деятели науки, техники и образования
Благонравов, Анатолий Аркадьевич;1894;1975;Деятели науки, техники и образования
Благонравова, Ангелина Аркадьевна;1899;1987;Деятели науки, техники и образования
Блаженов, Виктор Григорьевич;1916;1989;Предприниматели и менеджеры
Блажко, Сергей Николаевич;1870;1956;Деятели науки, техники и образования
Борисов, Леонид Константинович;1943;2013;Деятели искусства и культуры
Бородин, Павел Павлович;1972;;Политики и общественные деятели
Ижаев, Абдулла Махаевич;1920; 1994;Военные и работники силовых структур
Йорих, Владимир Филиппович;1958;;Предприниматели и менеджеры
Иратов, Александр Борисович;1958;;Деятели искусства и культуры
Исайкин, Алексей Иванович;1952;;Предприниматели и менеджеры
Казинец, Леонид Александрович;1966;;Предприниматели и менеджеры
Казьмин, Пётр Иванович;1915;2010;Военные и работники силовых структур
Ковальчук, Юрий Валентинович;1951;2014;Предприниматели и менеджеры
Ковпак, Лев Игоревич;1978;;Предприниматели и менеджеры
Ковтун, Дмитрий Владимирович;1965;;Военные и работники силовых структур
Коган, Владимир Игоревич;1963;;Предприниматели и менеджеры
Козовой, Геннадий Иванович;1951;;Предприниматели и менеджеры
Колесников, Олег Алексеевич;1992;2007;Предприниматели и менеджеры
Кузык, Борис Николаевич;1958;;Предприниматели и менеджеры
Кунфуд, Аббас Халаф;1955;2013;Предприниматели и менеджеры
Курбатов, Иван Петрович;1919;1941;Военные и работники силовых структур
Курцер, Марк Аркадьевич;1957;2012;Предприниматели и менеджеры
Куснирович, Михаил Эрнестович;1966;;Предприниматели и менеджеры
Кутиков, Александр Викторович;1952;;Деятели искусства и культуры
Кучин, Борис Максимович;1923;2007;Военные и работники силовых структур
Левиев, Лев Бинзумович;1984;;Предприниматели и менеджеры
Лекух, Дмитрий Валерьянович; 1965;;Предприниматели и менеджеры
Леонтьев, Сергей Леонидович;1965;;Предприниматели и менеджеры
Ли, Лаки;1969;;Предприниматели и менеджеры
Мазепин, Дмитрий Аркадьевич; 1968;;Предприниматели и менеджеры
Мазурин, Николай Алексеевич; 1823; 1903;Предприниматели и менеджеры
Маргулис, Марк Моисеевич;1948;;Деятели искусства и культуры
Мастеркова, Лидия Алексеевна;1927; 2008;Деятели искусства и культуры
Потапова, Ольга Ананьевна;1892;1971;Деятели искусства и культуры
Рубцов, Иван Фёдорович;1923;2013;Военные и работники силовых структур
Рухин, Евгений Львович; 1943; 1976;Деятели искусства и культуры
Савицкая, Валентина Флегонтовна; 1916; 2000;Военные и работники силовых структур
Сальников, Николай Андреевич; 1918; 2005;Военные и работники силовых структур
Стрекаловский, Михаил Михайлович;1914;1989;Военные и работники силовых структур
Сурков, Владислав Юрьевич;1964;;Политики и общественные деятели
Сюткин, Павел Павлович; 1922; ;Военные и работники силовых структур
Татлин, Владимир Евграфович; 1885; 1953;Деятели искусства и культуры
Тимакова, Наталья Александровна; 1975;;Политики и общественные деятели
Титов, Анатолий Александрович; 1923; 2008;Военные и работники силовых структур
Туган-Барановский, Михаил Иванович; 1865; 1919;Деятели науки, техники и образования
Тяпушкин, Алексей Александрович; 1919;1988;Деятели искусства и культуры
Удальцова, Надежда Андреевна; 1886; 1961;Деятели искусства и культуры
Узденов, Дугербий Танаевич; 1917; 2005;Военные и работники силовых структур
Хабиров, Радий Фаритович;1964;;Политики и общественные деятели
Хижняков, Вячеслав Фадеевич; 1952; ;Политики и общественные деятели
Цыпляев, Сергей Алексеевич; 1955;;Политики и общественные деятели
Чашник, Илья Григорьевич; 1902; 1929;Деятели искусства и культуры
Черненко, Андрей Григорьевич; 1953;;Политики и общественные деятели
Шикунов, Фёдор Иванович; 1921; 1945;Военные и работники силовых структур
Шулайкина, Лидия Ивановна;1917;1995;Военные и работники силовых структур
Экстер, Александра Александровна;1882;1949;Деятели искусства и культуры
Эндер, Борис Владимирович;1893;1960;Деятели искусства и культуры
Яров, Юрий Фёдорович;1942;;Политики и общественные деятели
